,checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,gender,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,class
552,Low,48.0,,radio/tv,6999.0,Very Low,Long,1.0,Male,guarantor,1.0,real estate,34.0,none,own,2.0,Qualified,1.0,yes,yes,bad
553,Medium,12.0,,new car,1995.0,Low,Short,4.0,Male,none,1.0,car,27.0,none,own,1.0,Qualified,1.0,none,yes,good
554,Medium,9.0,,education,1199.0,Very Low,Long,4.0,Female,none,4.0,life insurance,67.0,none,own,2.0,High Qualified,1.0,yes,yes,good
555,Medium,12.0,,radio/tv,1331.0,Very Low,Short,2.0,Male,none,1.0,car,22.0,stores,own,1.0,Qualified,1.0,none,yes,bad
556,Medium,18.0,no credits,new car,2278.0,Low,Short,3.0,Female,none,3.0,car,28.0,none,own,2.0,Qualified,1.0,none,yes,bad
557,Unknown,21.0,no credits,new car,5003.0,Unknown,Medium,1.0,Female,none,4.0,life insurance,29.0,bank,own,2.0,Qualified,1.0,yes,yes,bad
558,Low,24.0,,furniture/equipment,3552.0,Very Low,Long,3.0,Male,none,4.0,car,27.0,bank,own,1.0,Qualified,1.0,none,yes,bad
559,Medium,18.0,,furniture/equipment,1928.0,Very Low,Short,2.0,Male,none,2.0,real estate,31.0,none,own,2.0,Unqualified,1.0,none,yes,bad
560,Low,24.0,,used car,2964.0,Unknown,Very Long,4.0,Male,none,4.0,no known property,49.0,bank,for free,1.0,Qualified,2.0,yes,yes,good
561,Low,24.0,,radio/tv,1546.0,Very Low,Long,4.0,Male,guarantor,4.0,car,24.0,bank,rent,1.0,Unqualified,1.0,none,yes,bad
562,High,6.0,,radio/tv,683.0,Very Low,Short,2.0,Female,none,1.0,life insurance,29.0,bank,own,1.0,Qualified,1.0,none,yes,good
563,Medium,36.0,,new car,12389.0,Unknown,Medium,1.0,Male,none,4.0,no known property,37.0,none,for free,1.0,Qualified,1.0,yes,yes,bad
564,Medium,24.0,,business,4712.0,Unknown,Medium,4.0,Male,none,2.0,life insurance,37.0,bank,own,2.0,High Qualified,1.0,yes,yes,good
565,Medium,24.0,,radio/tv,1553.0,Low,Long,3.0,Female,none,2.0,life insurance,23.0,none,rent,2.0,Qualified,1.0,yes,yes,good
566,Low,12.0,,new car,1372.0,Very Low,Long,2.0,Male,none,3.0,car,36.0,none,own,1.0,Qualified,1.0,none,yes,bad
567,Unknown,24.0,,radio/tv,2578.0,High,Very Long,2.0,Male,none,2.0,car,34.0,none,own,1.0,Qualified,1.0,none,yes,good
568,Medium,48.0,,radio/tv,3979.0,Unknown,Long,4.0,Male,none,1.0,car,41.0,none,own,2.0,Qualified,2.0,yes,yes,good
569,Low,48.0,,radio/tv,6758.0,Very Low,Medium,3.0,Female,none,2.0,car,31.0,none,own,1.0,Qualified,1.0,yes,yes,bad
570,Low,24.0,,furniture/equipment,3234.0,Very Low,Short,4.0,Female,none,4.0,real estate,23.0,none,rent,1.0,Unqualified,1.0,yes,yes,bad
571,Unknown,30.0,,radio/tv,5954.0,Very Low,Long,3.0,Male,co applicant,2.0,car,38.0,none,own,1.0,Qualified,1.0,none,yes,good
572,Unknown,24.0,,used car,5433.0,Unknown,,2.0,Female,none,4.0,life insurance,26.0,none,rent,1.0,High Qualified,1.0,yes,yes,good
573,Low,15.0,,business,806.0,Very Low,Medium,4.0,Female,none,4.0,life insurance,22.0,none,own,1.0,Unqualified,1.0,none,yes,good
574,Medium,9.0,,radio/tv,1082.0,Very Low,Very Long,4.0,Male,none,4.0,car,27.0,none,own,2.0,Unqualified,1.0,none,yes,good
575,Unknown,15.0,,furniture/equipment,2788.0,Very Low,Long,2.0,Female,co applicant,3.0,car,24.0,bank,own,2.0,Qualified,1.0,none,yes,good
576,Medium,12.0,,radio/tv,2930.0,Very Low,Long,2.0,Female,none,1.0,real estate,27.0,none,own,1.0,Qualified,1.0,none,yes,good
577,Unknown,24.0,,education,1927.0,Unknown,Medium,3.0,Female,none,2.0,car,33.0,none,own,2.0,Qualified,1.0,yes,yes,good
578,Medium,36.0,,new car,2820.0,Very Low,Short,4.0,Male,none,4.0,car,27.0,none,own,2.0,Qualified,1.0,none,yes,bad
579,Unknown,24.0,,retraining,937.0,Very Low,Short,4.0,Male,none,3.0,car,27.0,none,own,2.0,Unqualified,1.0,none,yes,good
580,Medium,18.0,,new car,1056.0,Very Low,Very Long,3.0,Male,guarantor,3.0,real estate,30.0,bank,own,2.0,Qualified,1.0,none,yes,bad
581,Medium,12.0,,new car,3124.0,Very Low,Short,1.0,Male,none,3.0,real estate,49.0,bank,own,2.0,Unqualified,2.0,none,yes,good
582,Unknown,9.0,,furniture/equipment,1388.0,Very Low,Medium,4.0,Female,none,2.0,real estate,26.0,none,rent,1.0,Qualified,1.0,none,yes,good
583,Medium,36.0,,repairs,2384.0,Very Low,Short,4.0,Male,none,1.0,no known property,33.0,none,rent,1.0,Unqualified,1.0,none,yes,bad
584,Unknown,12.0,,new car,2133.0,Unknown,Very Long,4.0,Female,none,4.0,no known property,52.0,none,for free,1.0,High Qualified,1.0,yes,yes,good
585,Low,18.0,,furniture/equipment,2039.0,Very Low,Medium,1.0,Female,none,4.0,real estate,20.0,bank,rent,1.0,Qualified,1.0,none,yes,bad
586,Low,9.0,,new car,2799.0,Very Low,Medium,2.0,Male,none,2.0,real estate,36.0,none,rent,2.0,Qualified,2.0,none,yes,good
587,Low,12.0,,furniture/equipment,1289.0,Very Low,Medium,4.0,Male,guarantor,1.0,life insurance,21.0,none,own,1.0,Unqualified,1.0,none,yes,good
588,Low,18.0,,domestic appliance,1217.0,Very Low,Medium,4.0,Male,none,3.0,real estate,47.0,none,own,1.0,Unqualified,1.0,yes,yes,bad
589,Low,12.0,,furniture/equipment,2246.0,Very Low,Very Long,3.0,Male,none,3.0,life insurance,60.0,none,own,2.0,Qualified,1.0,none,yes,bad
590,Low,12.0,,radio/tv,385.0,Very Low,Long,4.0,Female,none,3.0,real estate,58.0,none,own,4.0,Unqualified,1.0,yes,yes,good
591,Medium,24.0,,new car,1965.0,Unknown,Medium,4.0,Female,none,4.0,car,42.0,none,rent,2.0,Qualified,1.0,yes,yes,good
592,Unknown,21.0,,business,1572.0,High,Very Long,4.0,Female,none,4.0,real estate,36.0,bank,own,1.0,Unqualified,1.0,none,yes,good
593,Medium,24.0,,new car,2718.0,Very Low,Medium,3.0,Female,none,4.0,life insurance,20.0,none,rent,1.0,Unqualified,1.0,yes,yes,bad
594,Low,24.0,,other,1358.0,Unknown,Very Long,4.0,Male,none,3.0,car,40.0,stores,own,1.0,High Qualified,1.0,yes,yes,bad
595,Medium,6.0,,new car,931.0,Low,Short,1.0,Female,none,1.0,life insurance,32.0,stores,own,1.0,Unqualified,1.0,none,yes,bad
596,Low,24.0,,new car,1442.0,Very Low,Long,4.0,Female,none,4.0,car,23.0,none,rent,2.0,Qualified,1.0,none,yes,bad
597,Medium,24.0,no credits,business,4241.0,Very Low,Medium,1.0,Male,none,4.0,real estate,36.0,none,own,3.0,Unqualified,1.0,yes,yes,bad
598,Unknown,18.0,,new car,2775.0,Very Low,Long,2.0,Male,none,2.0,life insurance,31.0,bank,own,2.0,Qualified,1.0,none,yes,bad
599,Unknown,24.0,,business,3863.0,Very Low,Medium,1.0,Male,none,2.0,no known property,32.0,none,for free,1.0,Qualified,1.0,none,yes,good
600,Medium,7.0,,radio/tv,2329.0,Very Low,Short,1.0,Female,guarantor,1.0,real estate,45.0,none,own,1.0,Qualified,1.0,none,yes,good
601,Medium,9.0,,furniture/equipment,918.0,Very Low,Medium,4.0,Female,none,1.0,life insurance,30.0,none,own,1.0,Qualified,1.0,none,yes,bad
602,Medium,24.0,,education,1837.0,Very Low,Long,4.0,Female,none,4.0,no known property,34.0,bank,for free,1.0,Unqualified,1.0,none,yes,bad
603,Unknown,36.0,,furniture/equipment,3349.0,Very Low,Medium,4.0,Female,none,2.0,car,28.0,none,own,1.0,High Qualified,1.0,yes,yes,bad
604,High,10.0,,furniture/equipment,1275.0,Very Low,Short,4.0,Female,none,2.0,life insurance,23.0,none,own,1.0,Qualified,1.0,none,yes,good
605,Low,24.0,,furniture/equipment,2828.0,Medium,Medium,4.0,Male,none,4.0,real estate,22.0,stores,own,1.0,Qualified,1.0,yes,yes,good
606,Unknown,24.0,,business,4526.0,Very Low,Medium,3.0,Male,none,2.0,real estate,74.0,none,own,1.0,High Qualified,1.0,yes,yes,good
607,Medium,36.0,,radio/tv,2671.0,Low,Medium,4.0,Female,co applicant,4.0,no known property,50.0,none,for free,1.0,Qualified,1.0,none,yes,bad
608,Unknown,18.0,,radio/tv,2051.0,Very Low,Short,4.0,Male,none,1.0,real estate,33.0,none,own,1.0,Qualified,1.0,none,yes,good
609,Unknown,15.0,,used car,1300.0,Unknown,Very Long,4.0,Male,none,4.0,no known property,45.0,bank,for free,1.0,Qualified,2.0,none,yes,good
610,Low,12.0,,domestic appliance,741.0,Low,,4.0,Female,none,3.0,life insurance,22.0,none,own,1.0,Qualified,1.0,none,yes,bad
611,High,10.0,,new car,1240.0,Low,Very Long,1.0,Female,none,4.0,no known property,48.0,none,for free,1.0,Unqualified,2.0,none,yes,bad
612,Low,21.0,,radio/tv,3357.0,High,Short,4.0,Female,none,2.0,car,29.0,bank,own,1.0,Qualified,1.0,none,yes,good
613,Low,24.0,,used car,3632.0,Very Low,Medium,1.0,Female,guarantor,4.0,car,22.0,bank,rent,1.0,Qualified,1.0,none,no,good
614,Unknown,18.0,,furniture/equipment,1808.0,Very Low,Long,4.0,Female,none,1.0,real estate,22.0,none,own,1.0,Qualified,1.0,none,yes,bad
615,Medium,48.0,no credits,business,12204.0,Unknown,Medium,2.0,Male,none,2.0,car,48.0,bank,own,1.0,High Qualified,1.0,yes,yes,good
616,Medium,60.0,,radio/tv,9157.0,Unknown,Medium,2.0,Male,none,2.0,no known property,27.0,none,for free,1.0,High Qualified,1.0,none,yes,good
617,Low,6.0,,new car,3676.0,Very Low,Medium,1.0,Male,none,3.0,real estate,37.0,none,rent,3.0,Qualified,2.0,none,yes,good
618,Medium,30.0,,furniture/equipment,3441.0,Low,Medium,2.0,Female,co applicant,4.0,car,21.0,none,rent,1.0,Qualified,1.0,none,yes,bad
619,Unknown,12.0,,new car,640.0,Very Low,Medium,4.0,Male,none,2.0,real estate,49.0,none,own,1.0,Unqualified,1.0,none,yes,good
620,Medium,21.0,,business,3652.0,Very Low,Long,2.0,Male,none,3.0,life insurance,27.0,none,own,2.0,Qualified,1.0,none,yes,good
621,Unknown,18.0,,new car,1530.0,Very Low,Medium,3.0,Male,none,2.0,life insurance,32.0,bank,own,2.0,Qualified,1.0,none,yes,bad
622,Unknown,48.0,,business,3914.0,Unknown,Medium,4.0,Male,none,2.0,real estate,38.0,bank,own,1.0,Qualified,1.0,none,yes,bad
623,Low,12.0,,furniture/equipment,1858.0,Very Low,Short,4.0,Female,none,1.0,car,22.0,none,rent,1.0,Qualified,1.0,none,yes,good
624,Low,18.0,,radio/tv,2600.0,Very Low,Medium,4.0,Male,none,4.0,no known property,65.0,none,for free,2.0,Qualified,1.0,none,yes,bad
625,Unknown,15.0,,radio/tv,1979.0,Unknown,Very Long,4.0,Male,none,2.0,car,35.0,none,own,1.0,Qualified,1.0,none,yes,good
626,High,6.0,,furniture/equipment,2116.0,Very Low,Medium,2.0,Male,none,2.0,real estate,41.0,none,own,1.0,Qualified,1.0,yes,yes,good
627,Medium,9.0,,new car,1437.0,Low,Long,2.0,Male,none,3.0,no known property,29.0,none,own,1.0,Qualified,1.0,none,yes,bad
628,Unknown,42.0,,furniture/equipment,4042.0,Medium,Medium,4.0,Male,none,4.0,real estate,36.0,none,own,2.0,Qualified,1.0,yes,yes,good
629,Unknown,9.0,,education,3832.0,Unknown,Very Long,1.0,Male,none,4.0,real estate,64.0,none,own,1.0,Unqualified,1.0,none,yes,good
630,Low,24.0,,radio/tv,3660.0,Very Low,Medium,2.0,Female,none,4.0,car,28.0,none,own,1.0,Qualified,1.0,none,yes,good
631,Low,18.0,,furniture/equipment,1553.0,Very Low,Medium,4.0,Male,none,3.0,car,44.0,bank,own,1.0,Qualified,1.0,none,yes,bad
632,Medium,15.0,,radio/tv,1444.0,Unknown,Short,4.0,Male,none,1.0,life insurance,23.0,none,own,1.0,Qualified,1.0,none,yes,good
633,Unknown,9.0,,furniture/equipment,1980.0,Very Low,Short,2.0,Female,co applicant,2.0,car,19.0,none,rent,2.0,Qualified,1.0,none,yes,bad
634,Medium,24.0,,new car,1355.0,Very Low,Short,3.0,Female,none,4.0,car,25.0,none,own,1.0,Unqualified,1.0,yes,yes,bad
635,Unknown,12.0,,education,1393.0,Very Low,Very Long,4.0,Male,none,4.0,life insurance,47.0,bank,own,3.0,Qualified,2.0,yes,yes,good
636,Unknown,24.0,,radio/tv,1376.0,Medium,Long,4.0,Female,none,1.0,car,28.0,none,own,1.0,Qualified,1.0,none,yes,good
637,Unknown,60.0,,radio/tv,15653.0,Very Low,Long,2.0,Male,none,4.0,car,21.0,none,own,2.0,Qualified,1.0,yes,yes,good
638,Unknown,12.0,,radio/tv,1493.0,Very Low,Short,4.0,Female,none,3.0,car,34.0,none,own,1.0,Qualified,2.0,none,yes,good
639,Low,42.0,,radio/tv,4370.0,Very Low,Long,3.0,Male,none,2.0,life insurance,26.0,bank,own,2.0,Qualified,2.0,yes,yes,bad
640,Low,18.0,,education,750.0,Very Low,,4.0,Female,none,1.0,real estate,27.0,none,own,1.0,Unemployed,1.0,none,yes,bad
641,Medium,15.0,,repairs,1308.0,Very Low,Very Long,4.0,Male,none,4.0,car,38.0,none,own,2.0,Unqualified,1.0,none,yes,good
642,Unknown,15.0,,education,4623.0,Low,Medium,3.0,Male,none,2.0,life insurance,40.0,none,own,1.0,High Qualified,1.0,yes,yes,bad
643,Unknown,24.0,,radio/tv,1851.0,Very Low,Long,4.0,Male,guarantor,2.0,car,33.0,none,own,2.0,Qualified,1.0,yes,yes,good
644,Low,18.0,,radio/tv,1880.0,Very Low,Long,4.0,Male,none,1.0,life insurance,32.0,none,own,2.0,High Qualified,1.0,yes,yes,good
645,Unknown,36.0,,business,7980.0,Unknown,Short,4.0,Male,none,4.0,car,27.0,none,rent,2.0,Qualified,1.0,yes,yes,bad
646,Low,30.0,no credits,furniture/equipment,4583.0,Very Low,Medium,2.0,Male,guarantor,2.0,real estate,32.0,none,own,2.0,Qualified,1.0,none,yes,good
647,Unknown,12.0,,new car,1386.0,Medium,Medium,2.0,Female,none,2.0,life insurance,26.0,none,own,1.0,Qualified,1.0,none,yes,bad
648,High,24.0,,new car,947.0,Very Low,Long,4.0,Male,none,3.0,no known property,38.0,bank,for free,1.0,Qualified,2.0,none,yes,bad
649,Low,12.0,,education,684.0,Very Low,Medium,4.0,Male,none,4.0,car,40.0,none,rent,1.0,Unqualified,2.0,none,yes,bad
650,Low,48.0,,education,7476.0,Very Low,Long,4.0,Male,none,1.0,no known property,50.0,none,for free,1.0,High Qualified,1.0,yes,yes,good
651,Medium,12.0,,furniture/equipment,1922.0,Very Low,Medium,4.0,Male,none,2.0,life insurance,37.0,none,own,1.0,Unqualified,1.0,none,yes,bad
652,Low,24.0,,new car,2303.0,Very Low,Very Long,4.0,Male,co applicant,1.0,real estate,45.0,none,own,1.0,Qualified,1.0,none,yes,bad
653,Medium,36.0,,new car,8086.0,Low,Very Long,2.0,Male,none,4.0,car,42.0,none,own,4.0,High Qualified,1.0,yes,yes,bad
654,Unknown,24.0,,used car,2346.0,Very Low,Long,4.0,Male,none,3.0,car,35.0,none,own,2.0,Qualified,1.0,yes,yes,good
655,Low,14.0,,new car,3973.0,Very Low,,1.0,Male,none,4.0,no known property,22.0,none,for free,1.0,Qualified,1.0,none,yes,good
656,Medium,12.0,,new car,888.0,Very Low,Very Long,4.0,Male,none,4.0,car,41.0,bank,own,1.0,Unqualified,2.0,none,yes,bad
657,Unknown,48.0,,radio/tv,10222.0,Unknown,Long,4.0,Male,none,3.0,car,37.0,stores,own,1.0,Qualified,1.0,yes,yes,good
658,Medium,30.0,no credits,business,4221.0,Very Low,Medium,2.0,Female,none,1.0,car,28.0,none,own,2.0,Qualified,1.0,none,yes,good
659,Medium,18.0,,furniture/equipment,6361.0,Very Low,Very Long,2.0,Male,none,1.0,no known property,41.0,none,own,1.0,Qualified,1.0,yes,yes,good
660,High,12.0,,radio/tv,1297.0,Very Low,Medium,3.0,Male,none,4.0,real estate,23.0,none,rent,1.0,Qualified,1.0,none,yes,good
661,Low,12.0,,new car,900.0,Unknown,Medium,4.0,Male,none,2.0,car,23.0,none,own,1.0,Qualified,1.0,none,yes,bad
662,Unknown,21.0,,furniture/equipment,2241.0,Very Low,Very Long,4.0,Male,none,2.0,real estate,50.0,none,own,2.0,Qualified,1.0,none,yes,good
663,Medium,6.0,,furniture/equipment,1050.0,Very Low,,4.0,Male,none,1.0,life insurance,35.0,stores,own,2.0,High Qualified,1.0,yes,yes,good
664,High,6.0,,education,1047.0,Very Low,Medium,2.0,Female,none,4.0,life insurance,50.0,none,own,1.0,Unqualified,1.0,none,yes,good
665,Unknown,24.0,,other,6314.0,Very Low,,4.0,Male,co applicant,2.0,no known property,27.0,bank,own,2.0,High Qualified,1.0,yes,yes,good
666,Medium,30.0,,furniture/equipment,3496.0,High,Medium,4.0,Male,none,2.0,car,34.0,stores,own,1.0,Qualified,2.0,yes,yes,good
667,Unknown,48.0,,business,3609.0,Very Low,Medium,1.0,Female,none,1.0,real estate,27.0,stores,own,1.0,Qualified,1.0,none,yes,good
668,Low,12.0,,new car,4843.0,Very Low,Very Long,3.0,Male,co applicant,4.0,life insurance,43.0,none,rent,2.0,Qualified,1.0,yes,yes,bad
669,High,30.0,,radio/tv,3017.0,Very Low,Very Long,4.0,Male,none,4.0,life insurance,47.0,none,own,1.0,Qualified,1.0,none,yes,good
670,Unknown,24.0,,business,4139.0,Low,Medium,3.0,Male,none,3.0,life insurance,27.0,none,own,2.0,Unqualified,1.0,yes,yes,good
671,Unknown,36.0,,business,5742.0,Low,Long,2.0,Male,none,2.0,car,31.0,none,own,2.0,Qualified,1.0,yes,yes,good
672,Unknown,60.0,,new car,10366.0,Very Low,Very Long,2.0,Male,none,4.0,life insurance,42.0,none,own,1.0,High Qualified,1.0,yes,yes,good
673,Unknown,6.0,,new car,2080.0,Medium,Medium,1.0,Male,none,2.0,car,24.0,none,own,1.0,Qualified,1.0,none,yes,good
674,Unknown,21.0,,business,2580.0,Medium,Short,4.0,Male,none,2.0,real estate,41.0,bank,own,1.0,Unqualified,2.0,none,yes,bad
675,Unknown,30.0,,radio/tv,4530.0,Very Low,Long,4.0,Female,none,4.0,car,26.0,none,rent,1.0,High Qualified,1.0,yes,yes,good
676,Unknown,24.0,,furniture/equipment,5150.0,Very Low,Very Long,4.0,Male,none,4.0,car,33.0,none,own,1.0,Qualified,1.0,yes,yes,good
677,Medium,72.0,,radio/tv,5595.0,Low,Medium,2.0,Male,none,2.0,car,24.0,none,own,1.0,Qualified,1.0,none,yes,bad
678,Low,24.0,,radio/tv,2384.0,Very Low,Very Long,4.0,Male,none,4.0,real estate,64.0,bank,rent,1.0,Unqualified,1.0,none,yes,good
679,Unknown,18.0,,radio/tv,1453.0,Very Low,Short,3.0,Female,none,1.0,real estate,26.0,none,own,1.0,Qualified,1.0,none,yes,good
680,Unknown,6.0,,education,1538.0,Very Low,Short,1.0,Female,none,2.0,no known property,56.0,none,own,1.0,Qualified,1.0,none,yes,good
681,Unknown,12.0,,radio/tv,2279.0,Unknown,Medium,4.0,Male,none,4.0,no known property,37.0,none,for free,1.0,Qualified,1.0,yes,yes,good
682,Unknown,15.0,,radio/tv,1478.0,Very Low,Medium,4.0,Male,none,3.0,real estate,33.0,bank,own,2.0,Qualified,1.0,none,yes,good
683,Unknown,24.0,,radio/tv,5103.0,Very Low,Short,3.0,Male,none,3.0,no known property,47.0,none,for free,3.0,Qualified,1.0,yes,yes,good
684,Medium,36.0,,business,9857.0,Low,Long,1.0,Male,none,3.0,life insurance,31.0,none,own,2.0,Unqualified,2.0,yes,yes,good
685,Unknown,60.0,,new car,6527.0,Unknown,Medium,4.0,Male,none,4.0,no known property,34.0,none,for free,1.0,Qualified,2.0,yes,yes,good
686,High,10.0,,radio/tv,1347.0,Unknown,Long,4.0,Male,none,2.0,life insurance,27.0,none,own,2.0,Qualified,1.0,yes,yes,good
687,Medium,36.0,,new car,2862.0,Low,Very Long,4.0,Male,none,3.0,no known property,30.0,none,for free,1.0,Qualified,1.0,none,yes,good
688,Unknown,9.0,,radio/tv,2753.0,Low,Very Long,3.0,Male,co applicant,4.0,car,35.0,none,own,1.0,Qualified,1.0,yes,yes,good
689,Low,12.0,,new car,3651.0,High,Medium,1.0,Male,none,3.0,life insurance,31.0,none,own,1.0,Qualified,2.0,none,yes,good
690,Low,15.0,,furniture/equipment,975.0,Very Low,Medium,2.0,Male,none,3.0,life insurance,25.0,none,own,2.0,Qualified,1.0,none,yes,good
691,Medium,15.0,,repairs,2631.0,Low,Medium,3.0,Female,none,2.0,real estate,25.0,none,own,1.0,Unqualified,1.0,none,yes,good
692,Medium,24.0,,radio/tv,2896.0,Low,Short,2.0,Male,none,1.0,car,29.0,none,own,1.0,Qualified,1.0,none,yes,good
693,Low,6.0,,new car,4716.0,Unknown,Short,1.0,Male,none,3.0,real estate,44.0,none,own,2.0,Unqualified,2.0,none,yes,good
694,Unknown,24.0,,radio/tv,2284.0,Very Low,Long,4.0,Male,none,2.0,car,28.0,none,own,1.0,Qualified,1.0,yes,yes,good
695,Unknown,6.0,,used car,1236.0,Medium,Medium,2.0,Male,none,4.0,life insurance,50.0,none,rent,1.0,Qualified,1.0,none,yes,good
696,Medium,12.0,,radio/tv,1103.0,Very Low,Long,4.0,Male,guarantor,3.0,real estate,29.0,none,own,2.0,Qualified,1.0,none,no,good
697,Unknown,12.0,,new car,926.0,Very Low,,1.0,Female,none,2.0,life insurance,38.0,none,own,1.0,Unemployed,1.0,none,yes,good
698,Unknown,18.0,,radio/tv,1800.0,Very Low,Medium,4.0,Male,none,2.0,car,24.0,none,own,2.0,Qualified,1.0,none,yes,good
699,High,15.0,,education,1905.0,Very Low,Very Long,4.0,Male,none,4.0,car,40.0,none,rent,1.0,High Qualified,1.0,yes,yes,good
700,Unknown,12.0,,furniture/equipment,1123.0,Medium,Medium,4.0,Female,none,4.0,car,29.0,none,rent,1.0,Unqualified,1.0,none,yes,bad
701,Low,48.0,,used car,6331.0,Very Low,Very Long,4.0,Male,none,4.0,no known property,46.0,none,for free,2.0,Qualified,1.0,yes,yes,bad
702,High,24.0,,radio/tv,1377.0,Low,Very Long,4.0,Female,none,2.0,no known property,47.0,none,for free,1.0,Qualified,1.0,yes,yes,good
703,Medium,30.0,,business,2503.0,Low,Very Long,4.0,Male,none,2.0,life insurance,41.0,stores,own,2.0,Qualified,1.0,none,yes,good
704,Medium,27.0,,business,2528.0,Very Low,Short,4.0,Female,none,1.0,life insurance,32.0,none,own,1.0,Qualified,2.0,yes,yes,good
705,Unknown,15.0,,new car,5324.0,Medium,Very Long,1.0,Female,none,4.0,no known property,35.0,none,for free,1.0,Qualified,1.0,none,yes,good
706,Medium,48.0,,new car,6560.0,Low,Long,3.0,Male,none,2.0,life insurance,24.0,none,own,1.0,Qualified,1.0,none,yes,bad
707,Medium,12.0,no credits,furniture/equipment,2969.0,Very Low,Short,4.0,Female,none,3.0,life insurance,25.0,none,rent,2.0,Qualified,1.0,none,yes,bad
708,Medium,9.0,,radio/tv,1206.0,Very Low,Very Long,4.0,Female,none,4.0,real estate,25.0,none,own,1.0,Qualified,1.0,none,yes,good
709,Medium,9.0,,radio/tv,2118.0,Very Low,Medium,2.0,Male,none,2.0,real estate,37.0,none,own,1.0,Unqualified,2.0,none,yes,good
710,Unknown,18.0,,radio/tv,629.0,Medium,Very Long,4.0,Male,none,3.0,life insurance,32.0,bank,own,2.0,High Qualified,1.0,yes,yes,good
711,Low,6.0,,education,1198.0,Very Low,Very Long,4.0,Female,none,4.0,no known property,35.0,none,for free,1.0,Qualified,1.0,none,yes,bad
712,Unknown,21.0,,used car,2476.0,Unknown,Very Long,4.0,Male,none,4.0,real estate,46.0,none,own,1.0,High Qualified,1.0,yes,yes,good
713,Low,9.0,,radio/tv,1138.0,Very Low,Medium,4.0,Male,none,4.0,real estate,25.0,none,own,2.0,Unqualified,1.0,none,yes,good
714,Medium,60.0,,new car,14027.0,Very Low,Long,4.0,Male,none,2.0,no known property,27.0,none,own,1.0,High Qualified,1.0,yes,yes,bad
715,Unknown,30.0,,used car,7596.0,Unknown,Very Long,1.0,Male,none,4.0,car,63.0,none,own,2.0,Qualified,1.0,none,yes,good
716,Unknown,30.0,,radio/tv,3077.0,Unknown,Very Long,3.0,Male,none,2.0,car,40.0,none,own,2.0,Qualified,2.0,yes,yes,good
717,Unknown,18.0,,radio/tv,1505.0,Very Low,Medium,4.0,Male,none,2.0,no known property,32.0,none,for free,1.0,High Qualified,1.0,yes,yes,good
718,High,24.0,,radio/tv,3148.0,Unknown,Medium,3.0,Male,none,2.0,car,31.0,none,own,2.0,Qualified,1.0,yes,yes,good
719,Medium,20.0,no credits,used car,6148.0,Low,Very Long,3.0,Male,none,4.0,car,31.0,bank,own,2.0,Qualified,1.0,yes,yes,good
720,High,9.0,no credits,radio/tv,1337.0,Very Low,Short,4.0,Male,none,2.0,car,34.0,none,own,2.0,High Qualified,1.0,yes,yes,bad
721,Medium,6.0,,education,433.0,High,Short,4.0,Female,none,2.0,life insurance,24.0,bank,rent,1.0,Qualified,2.0,none,yes,bad
722,Low,12.0,,new car,1228.0,Very Low,Medium,4.0,Female,none,2.0,real estate,24.0,none,own,1.0,Unqualified,1.0,none,yes,bad
723,Medium,9.0,,radio/tv,790.0,Medium,Medium,4.0,Female,none,3.0,real estate,66.0,none,own,1.0,Unqualified,1.0,none,yes,good
724,Unknown,27.0,,new car,2570.0,Very Low,Medium,3.0,Female,none,3.0,real estate,21.0,none,rent,1.0,Qualified,1.0,none,yes,bad
725,Unknown,6.0,,new car,250.0,High,Medium,2.0,Female,none,2.0,real estate,41.0,bank,own,2.0,Unqualified,1.0,none,yes,good
726,Unknown,15.0,,radio/tv,1316.0,Medium,Medium,2.0,Male,none,2.0,life insurance,47.0,none,own,2.0,Unqualified,1.0,none,yes,good
727,Low,18.0,,radio/tv,1882.0,Very Low,Medium,4.0,Female,none,4.0,car,25.0,bank,rent,2.0,Qualified,1.0,none,yes,bad
728,Medium,48.0,,business,6416.0,Very Low,Very Long,4.0,Female,none,3.0,no known property,59.0,none,rent,1.0,Qualified,1.0,none,yes,bad
729,High,24.0,,business,1275.0,High,Medium,2.0,Male,none,4.0,real estate,36.0,none,own,2.0,Qualified,1.0,yes,yes,good
730,Medium,24.0,,radio/tv,6403.0,Very Low,Short,1.0,Male,none,2.0,car,33.0,none,own,1.0,Qualified,1.0,none,yes,good
731,Low,24.0,,radio/tv,1987.0,Very Low,Medium,2.0,Male,none,4.0,real estate,21.0,none,rent,1.0,Unqualified,2.0,none,yes,bad
732,Medium,8.0,,radio/tv,760.0,Very Low,Long,4.0,Female,guarantor,2.0,real estate,44.0,none,own,1.0,Unqualified,1.0,none,yes,good
733,Unknown,24.0,,used car,2603.0,High,Medium,2.0,Female,none,4.0,car,28.0,none,rent,1.0,Qualified,1.0,yes,yes,good
734,Unknown,4.0,,new car,3380.0,Very Low,Long,1.0,Female,none,1.0,real estate,37.0,none,own,1.0,Qualified,2.0,none,yes,good
735,Medium,36.0,,domestic appliance,3990.0,Unknown,Short,3.0,Female,none,2.0,no known property,29.0,bank,own,1.0,Unemployed,1.0,none,yes,good
